"","timestamp","source","destination","databytes"
"5328",76.650016,5,259,39
"5329",76.650992,232,22,109
"5330",76.696864,82,5,54
"5331",76.699792,5,353,38
"5332",76.701745,29,30,60
"5333",76.703698,8,122,42
"5334",76.709552,5,259,42
"5335",76.713457,5,353,112
"5336",76.715408,84,5,39
"5337",76.716384,130,8,53
"5338",76.720288,5,259,110
"5339",76.73688,8,133,43
"5340",76.742736,75,5,107
"5341",76.750544,77,8,41
"5342",76.759328,2,37,212
"5343",76.766161,8,116,105
"5344",76.78568,8,120,124
"5345",76.791536,61,5,39
"5346",76.804225,4,5,39
"5347",76.818865,83,8,51
"5348",76.83936,5,249,46
"5349",76.839363,8,53,19
"5350",76.855952,29,30,60
"5351",76.856929,8,42,249
"5352",76.870592,61,8,36
"5353",76.890112,76,8,37
"5354",76.894016,86,85,85
"5355",76.903777,85,94,85
"5356",76.909632,133,8,39
"5357",76.914513,53,8,34
"5358",76.920369,2,37,212
"5359",76.964288,77,8,246
"5360",76.972098,83,8,80
"5361",76.981856,8,116,31
"5362",77.023425,85,94,72
"5363",77.035136,5,75,49
"5364",77.065392,75,5,45
"5365",77.066368,42,8,34
"5366",77.071249,5,8,53
"5367",77.076129,5,249,40
"5368",77.080033,8,123,47
"5369",77.088818,2,37,212
"5370",77.089793,61,8,168
"5371",77.089794,62,5,39
"5372",77.094673,5,249,197
"5373",77.141521,8,122,50
"5374",77.185441,354,85,244
"5375",77.187392,63,414,51
"5376",77.235218,5,353,34
"5377",77.238144,2,37,212
"5378",77.2684,78,5,52
"5379",77.270353,17,188,45
"5380",77.273281,8,347,43
"5381",77.276208,8,113,48
"5382",77.299633,5,249,43
"5383",77.312322,86,85,164
"5384",77.316225,5,249,125
"5385",77.331841,62,5,48
"5386",77.335744,8,113,38
"5387",77.359168,2,103,96
"5388",77.359169,5,259,42
"5389",77.374784,5,259,40
"5390",77.375761,63,414,50
"5391",77.3904,2,37,212
"5392",77.390401,414,63,62
"5393",77.391376,76,8,42
"5394",77.394304,8,113,41
"5395",77.407968,5,76,42
"5396",77.411872,5,55,19
"5397",77.417729,84,5,34
"5398",77.418705,75,5,42
"5399",77.421632,76,5,37
"5400",77.436275,5,259,94
"5401",77.437248,82,5,42
"5402",77.48312,58,30,56
"5403",77.508496,61,5,37
"5404",77.5124,5,249,38
"5405",77.516304,55,5,35
"5406",77.528992,29,30,60
"5407",77.53973,2,37,212
"5408",77.552416,26,5,32
"5409",77.563154,4,5,37
"5410",77.58072,8,347,20
"5411",77.591456,77,8,36
"5412",77.636352,5,62,42
"5413",77.6588,42,8,49
